"PDRB_2016","PDRB_2017","PDRB_2018","PDRB_2019","PDRB_2020","PDRB_2021","PDRB_2022","PDRB_2023","PDRB_2024","PDRB_2025","PDRB_2026","PDRB_2027","PDRB_2028","PDRB_2029","PDRB_2030"
3166304.55936862,3324626.25160492,3490863.48032461,3665412.68800482,3848689.55428312,4041130.03266535,4243192.59692779,4455358.56449973,4678132.34956083,4912045.20386848,5157653.45873226,5415542.29403687,5686325.40379665,5970648.10250512,6269186.25456088
95536692.1242889,100313561.275993,105329274.285872,110595772.326376,116125595.545759,121931909.887573,128028539.684107,134430001.345943,141151536.190623,148209147.135579,155619639.213977,163400655.448914,171570722.996273,180149293.62793,189156792.704988
9196558.4497245,9656389.68505891,10139212.7354805,10646176.9561331,11178489.4101046,11737417.6108735,12324292.2919627,12940510.2217317,13587539.443584,14266920.1427614,14980269.9806745,15729286.9197341,16515754.5782148,17341546.1358845,18208627.249588
6646213.91501567,6978528.9554883,7327459.78425762,7693837.01541435,8078533.25874686,8482464.50544239,8906592.28678115,9351926.28387983,9819526.62159843,10310507.7416497,10826037.5431473,11367343.5447624,11935715.2009039,12532505.1313995,13159134.900994
16657852.0274546,17490757.2695142,18365308.1154803,19283586.0885578,20247777.7036232,21260179.4177096,22323201.1600096,23439373.9350813,24611354.9474931,25841935.3863193,27134044.895837,28490759.5725993,29915310.5487471,31411088.3950601,32981655.4328274
38753118.6660814,40691043.046145,42725863.3901947,44862424.6843121,47105813.9500837,49461372.8459719,51934709.4140621,54531712.9842784,57258567.1313228,60121763.2183059,63128119.686468,66284793.8194159,69599301.9213476,73079535.0296722,76733779.6772898
20381821.9543109,21400930.9745379,22470995.2944612,23594562.9285809,24774308.8147253,26013041.9320817,27313712.107149,28679415.4451775,30113404.0653096,31619091.8164722,33200063.9445303,34860085.1288387,36603107.0552825,38433280.1836027,40354961.9905028
12157898.1769028,12765797.9727981,13404092.6361916,14074301.6724475,14778021.5393397,15516927.5759845,16292778.3332019,17107422.1989117,17962797.8308566,18860942.5606268,19803994.1817091,20794198.5415122,21833913.4043914,22925613.3863074,24071898.6950751
18832569.2530864,19774199.060085,20762910.075516,21801057.1688221,22891110.9729238,24035667.9157406,25237452.795692,26499326.3309877,27824294.1811966,29215510.1414553,30676286.7410244,32210102.7032504,33820608.6910835,35511640.4703213,37287223.9992911
154125230.895941,161831515.173084,169923113.612214,178419291.943017,187340279.34077,196707316.175453,206542704.577528,216869862.447942,227713378.523751,239099070.252527,251054046.13881,263606771.560914,276787132.664963,290626512.048895,305157860.379521
63794395.9595607,66984183.7959003,70333460.9158343,73850201.6768751,77542779.5146263,81419985.9568354,85491053.0057474,89765673.1649422,94254024.6801576,98966793.8974032,103915201.328276,109111029.260717,114566648.126704,120295048.506665,126309868.398281
135442573.354678,142214734.402592,149325504.281068,156791812.164052,164631435.708532,172863039.728352,181506224.888242,190581568.954889,200110679.685012,210116246.626487,220622091.611552,231653229.179668,243235923.437873,255397752.613605,268167672.881047
3679225.09208845,3863186.47100504,4056346.49702022,4259164.28395315,4472122.60400341,4695729.48133845,4930516.24235542,5177042.40613281,5435895.10936478,5707689.89618848,5993075.2276225,6292729.18701806,6607366.29675838,6937734.75919332,7284621.91741468
7563258.18667866,7941448.07735584,8338548.01441278,8755502.16879683,9193304.46757832,9652997.1940765,10135674.0089127,10642485.2445431,11174636.7339926,11733395.5960999,12320092.4959409,12936124.2919948,13582957.9707578,14262132.9584688,14975266.7147841
2360332.15299907,2478348.93462516,2602266.57214123,2732379.98860457,2868999.18914623,3012449.26976993,3163071.82704906,3321225.61935588,3487287.0103846,3661651.59334138,3844734.32037773,4036971.12566961,4238819.80222089,4450760.99291198,4673299.17395191
10602264.0060847,11132380.4334335,11689002.832972,12273455.7258574,12887131.5945007,13531491.5899702,14208069.1604064,14918475.6062351,15664401.8979789,16447625.2634066,17270009.1808992,18133512.9207833,19040191.6044765,19992203.9823987,20991817.3613153
1235594.8956008,1297380.77170174,1362255.9125847,1430374.54037257,1501899.4380157,1577001.36258802,1655857.04017875,1738656.1017044,1825595.33457169,1916881.19662572,2012731.54021665,2113374.39649199,2219049.77140713,2330008.42860748,2446515.20572044
143569717.6043,150748216.004783,158285639.620113,166199934.290918,174509943.975925,183235453.545011,192397239.21781,202017113.700219,212117981.990875,222723893.839005,233860101.113695,245553119.050669,257830787.605833,270722339.741678,284258469.496966
34271712.7759647,35985454.2174628,37784883.5550913,39674284.0867521,41658154.1417035,43741218.5536234,45928435.4795949,48225013.238137,50636420.0450351,53168397.5850579,55826973.5223352,58618478.9215487,61549559.0324469,64627193.0262523,67858709.0429996
208197339.060422,218607337.823847,229537836.330119,241014860.346995,253065734.804247,265719152.807356,279005242.723576,292955635.786628,307603549.701531,322983858.626897,339133183.462843,356089974.213285,373894604.594017,392589466.662011,412219071.177367
1033415.36735839,1085086.80678233,1139341.38245198,1196309.18677468,1256124.98355837,1318931.67591367,1384878.76417255,1454123.33216702,1526830.1924717,1603172.04019813,1683331.29307658,1767498.17561082,1855873.81945755,1948667.95208127,2046101.60539922
