"sector","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Industri Makanan dan Minuman",715620.762355806,752342.971487869,791244.818496743,832560.672784649,876582.388664468,923678.884356093,974322.797166616,1029126.79415401,1088893.05883269,1154680.75934901,1227898.05730646,1310427.61004633,1404797.78758407,1514416.28494263,1643888.89915666
"Pengolahan Tembakau",32581.6306097297,34253.5628861745,36024.7322987165,37905.8094947906,39910.0823627839,42054.3474477146,44360.1235397706,46855.3048691091,49576.4141950584,52571.6745769284,55905.1984605158,59662.7016942261,63959.2988960486,68950.1396318917,74844.9220716753
"Industri Tekstil dan Pakaian Jadi",2497753.90151523,2624946.3697978,2759339.70371497,2901600.99995897,3052542.78455142,3213171.1915005,3384751.48151537,3568897.21764154,3767691.71969746,3983853.56585843,4220962.2044155,4483765.60036796,4778599.84530398,5113961.57974541,5501288.98698709
"Industri Kulit Barang dari Kulit dan Alas Kaki",240439.160725072,252682.981185516,265619.972453812,279314.350691815,293844.331401307,309306.767205113,325823.454819425,343549.719292183,362686.105468279,383494.309527852,406318.896859265,431616.916781551,459998.295093688,492280.936680228,529565.905657423
"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",112497.300272104,118710.577839455,125449.289867291,132818.099341109,140955.515206483,150046.028343013,160336.666278683,172159.578940398,185962.856190769,202352.581177694,222150.219940309,246470.944175544,276830.527427395,315291.243013818,364660.99849
"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",488426.22830669,513090.995506234,539077.862426992,566485.368451875,595428.818487793,626045.442314369,658501.389091572,693001.224459078,729800.841150542,769225.026419819,811691.383237922,857742.921400325,908092.480144823,963683.297459458,1025771.61621644
"Industri Kimia Farmasi dan Obat Tradisional",339614.211736982,372597.74217024,413071.4783691,463541.90629588,527419.007332038,609345.465508302,715646.006943905,854940.718329758,1038982.1951408,1283798.21653704,1611251.46261074,2051168.48815271,2644245.73936506,3446016.22536389,4532263.97958548
"Industri Karet Barang dari Karet dan Plastik",388258.609591407,409330.185640452,432060.746124809,456754.213322235,483810.360789816,513759.045063312,547306.894225895,585400.998218543,629315.804530566,680771.687225739,742096.747895794,816447.625431271,908110.851418495,1022914.14707212,1168787.78751594
"Industri Barang Galian bukan Logam",466164.751147856,489577.398001889,514198.786591896,540103.263933222,567373.971515896,596105.138178598,626405.164026157,658400.781828692,692242.686774673,728113.168003676,766236.469914684,806892.876801384,850437.876965315,897328.257198536,948157.653982257
"Industri Logam Dasar",721051.812792964,757291.512129997,795411.491108427,835530.691266533,877783.099777524,922321.822704963,969324.574076348,1019001.09400249,1071603.19621907,1127438.40088785,1186888.45717323,1250434.5359985,1318691.52318421,1392454.7297752,1472763.54681827
"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",3779268.03563796,3969509.10059894,4169728.56586833,4380595.56813858,4602874.8300239,4837454.11647309,5085381.34115076,5347914.82644403,5626591.49864418,5923319.54421026,6240504.43390462,6581220.4711243,6949444.45781254,7350374.12541369,7790862.24381617
"Industri Mesin dan Perlengkapan YTDL",2442523.81683788,2565283.82822033,2694413.18466922,2830314.79417937,2973442.53101602,3124315.03364611,3283534.29867665,3451810.80933081,3629997.57094874,3819136.29136063,4020520.12510767,4235779.01253445,4466995.84593095,4716864.69822576,4988906.45008523
"Industri Alat Angkutan",3255268.77101402,3420630.18567068,3595207.93233885,3779808.94298581,3975406.82828608,4183196.32277648,4404667.28286416,4641705.35849757,4896729.05757845,5172876.46895578,5474259.75089342,5806312.09924417,6176260.93158705,6593773.3336128,7071836.62068504
"Industri Furnitur",62276.5899181139,65716.1547727912,69446.5912761539,73525.8391038088,78030.5744891506,83062.9284957647,88759.6514306967,95304.6159385779,102945.877075094,112018.952338683,122978.591597532,136442.135264542,153248.690241707,174539.896574817,201870.164965243
"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",157442.5983687,165602.585605145,174275.640124485,183525.765082057,193434.161464749,204105.197133512,215674.539158079,228320.238275155,242277.842183066,257861.007360969,275489.615483317,295728.132588495,319337.948796497,347348.800319033,381156.237680849
"Ketenagalistrikan",49521.1407848604,51997.7101581231,54598.2950019663,57329.1643456185,60196.9255831005,63208.5504848299,66371.4058288855,69693.2900943761,73182.4781736625,76847.7767616246,80698.5940369492,84745.0285556273,88997.984058359,93469.3193235982,98172.0455148877
"Pengadaan Gas dan Produksi Es",222443.852840084,233568.346833624,245249.905520151,257516.688731873,270398.376200717,283926.284399775,298133.504135779,313055.065371928,328728.138070577,345192.280996101,362489.754716052,380665.920901576,399769.758030418,419854.53451134,440978.695147973
"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",25923.6811867682,27220.1334463857,28581.5062120859,30011.0812401551,31512.3174165025,33088.8643734013,34744.5785245618,36483.5422736394,38310.0874205081,40228.8241568303,42244.6775433163,44362.9340443286,46589.301628083,48929.988212794,51391.8049754689
"Konstruksi",621590.601814105,681959.843808878,756038.292748375,848413.530848252,965326.793916919,1115275.5142211,1309835.73946254,1564784.68004463,1901632.92840608,2349715.87909383,2949048.45494645,3754221.73461744,4839721.78970039,6307189.82179523,8295332.16688407
"Perdagangan Mobil Sepeda Motor dan Reparasinya",70272.328053534,76562.0697007694,84179.5841446304,93561.1093106547,105299.69000994,120202.291454508,139367.753155892,164293.189644304,197019.220750265,240328.204022639,298014.814723434,375255.379106862,479112.007212875,619220.725390883,808730.767702603
"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",426898.606550737,465108.269141366,511384.042137555,568376.035015333,639686.946168378,730219.022810906,846647.624492511,998067.598705683,1196875.54288779,1459974.05003743,1810415.4599021,2279645.5282361,2910565.99200893,3761714.91782312,4912972.81984146
"Angkutan Rel",200409.871034058,210430.364585761,220951.882815049,231999.476955801,243599.450803591,255779.423343771,268568.394510959,281996.814236507,296096.654948333,310901.487695749,326446.562080537,342768.890184564,359907.334693792,377902.701428481,396797.836499906
"Angkutan Darat",14892463.6167597,15637086.7975977,16418941.1374776,17239888.1943515,18101882.6040691,19006976.7342725,19957325.5709861,20955191.8495354,22002951.4420122,23103099.0141128,24258253.9648185,25471166.6630594,26744724.9962124,28081961.246023,29486059.3083241
"Angkutan Laut",6747.96311608871,7085.36127189314,7439.6293354878,7811.61080226219,8202.1913423753,8612.30090949406,9042.91595496877,9495.06175271721,9969.81484035307,10468.3055823707,10991.7208614893,11541.3069045637,12118.3722497919,12724.2908622815,13360.5054053956
"Angkutan Sungai Danau dan Penyeberangan",39.7213295975512,41.7073960774288,43.7927658813002,45.9824041753652,48.2815243841334,50.6956006033401,53.2303806335071,55.8918996651825,58.6864946484416,61.6208193808637,64.7018603499069,67.9369533674023,71.3338010357724,74.900491087561,78.645515641939
