"sector","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030"
5,1304.13099144164,1369.33433751908,1437.7978509004,1509.68641943352,1585.16478905515,1664.39475685066,1747.59324637024,1834.97173917699,1926.71036380509,2023.04540221679,2124.19719276294,2230.40657283639,2341.92642191351,2459.0222634445,2581.97289705203
6,8958409.54914777,9406314.84408196,9876615.40376286,10370436.4989247,10888945.0032884,11433170.1388932,12004783.5870634,12605018.4531405,13235239.1976382,13896999.313645,14591847.4357625,15321437.963986,16087508.0186206,16891881.575987,17736473.8112217
43,3399514.16333436,3569474.38649996,3747932.62082384,3935319.72040179,4132071.72285044,4338456.94376692,4555329.52305969,4783091.38146581,5022212.30885251,5273320.96545777,5536985.05524857,5813832.34952891,6104522.00852327,6409746.15046734,6730231.49950862
39,6607532.79468696,6937897.15485318,7284779.7330277,7649013.2403164,8031436.81589866,8432892.86032362,8854455.96314896,9297174.96953007,9762004.17469571,10250102.7961902,10762606.3496697,11300735.0808232,11865770.2485344,12459057.1746311,13082008.4470327
40,33760974.2744072,35448985.1821564,37221396.635293,39082453.3768293,41036573.3497961,43088094.3886669,45242294.1236268,47504387.0192888,49879389.9723373,52373350.8764223,54992009.8264931,57741601.7240674,60628673.2165205,63660098.2835962,66843094.6040257
23,42212898.9363313,44323298.3285354,46539217.6903498,48865995.568704,51309166.032807,53870359.5602027,56563549.619192,59391669.6376887,62360930.8178736,65478951.8880716,68752874.0121818,72190492.2424974,75799991.3843289,79589965.4832519,83569438.2871211
29,31777147.605549,33365858.2912361,35034004.5112077,36785606.2363583,38624802.666038,40553755.0802511,42581114.9776344,44710128.8060086,46945343.7927589,49292593.0426914,51757204.7564245,54345047.0558442,57062281.4702349,59915377.6053452,62911128.547211
7,3352485.86407532,3520103.37647157,3696101.76448764,3880903.24340524,4074942.34132758,4278607.19076391,4492509.1080582,4717132.10906286,4952968.38328657,5200615.78926092,5460645.56573335,5733676.83102941,6020359.65959026,6321376.62957916,6637444.4480675
25,4956859.27186068,5204695.80698041,5464924.16885612,5738167.91493853,6025066.46190623,6326266.60782073,6642537.38392927,6974661.57027108,7323370.45650486,7689537.89412114,8074013.70400272,8477713.30437838,8901597.88477281,9346676.69418697,9814009.44407184
28,554928.16723218,582672.97058453,611805.014104498,642394.601130257,674511.142889123,708222.631952768,743622.892268788,780803.46981041,819838.881413577,860830.592055675,903871.888342952,949065.249444592,996518.278601314,1046343.95921587,1098660.92386116
50,15062864.2144494,15815998.6232889,16606789.7525705,17437125.8910366,18308974.4519285,19224347.9904926,20185513.2502558,21194784.7038414,22254484.2971936,23367206.8290933,24535565.4879504,25762342.0797503,27050457.5011403,28402978.6935997,29823125.9456821
31,6577801.89394175,6906561.3015691,7251758.67957782,7614251.72723996,7994889.93463795,8392427.02342775,8811838.78224841,9252398.74033582,9714828.60117065,10200555.9771174,10710569.7224381,11246084.1550248,11808374.3092409,12398778.9711678,13018703.866191
1,38399846.3322947,40316095.1647124,42328156.438751,44441743.7865248,46661981.8032151,48929278.521899,51371230.4213676,53938928.0059121,56631126.5280865,59462298.7970564,62435029.6796219,65556397.1063156,68833832.9043441,72275140.4922739,75888513.4596003
27,40670266.7216907,42703775.7147837,44838960.1575314,47080905.4535137,49434947.5328583,51906632.3815789,54501951.1556714,57227047.3818779,60088389.8968031,63092808.8285705,66247448.7070018,69559820.5793546,73037811.0453252,76689701.0345942,80524185.5233267
24,11235723.1355196,11796431.3743349,12385175.025091,13004105.4000476,13655130.4629607,14329726.76289,15040847.5419201,15792153.2704401,16574169.2115158,17402590.6512788,18272433.1630846,19185767.8004808,20144769.1697467,21151720.607476,22209019.6170917
26,28986212.7585463,30435500.4271564,31957252.479197,33555100.6184162,35232840.2186457,36994147.4275063,38843790.1164817,40785972.5557337,42825218.8619019,44966476.8171768,47214797.6705614,49575534.5666152,52054308.3074718,54657020.7353711,57389868.7846654
35,16522.78236,17348.921478,18216.3675519,19127.185929495,20083.5452259698,21087.7224872682,22142.1086116317,23249.2140422132,24411.6747443239,25632.2584815401,26913.8714056171,28259.564975898,29672.5432246929,31156.1703859275,32713.9789052239
