"Sektor","Kategori","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Jasa Perantara Keuangan","Jasa",45312.0137271289,43900.9150577582,46096.0992597005,48401.0426733512,50822.3486619032,53365.0998400587,56034.9885874773,58838.3717643952,61781.9241055029,64872.6540655722,71619.6708150289,71525.4502997734,75103.3565614446,78860.1581394727,82803.6059928106
"Asuransi dan Dana Pensiun","Jasa",4751.87052460088,4663.72726545386,4896.9334783511,5141.80001365388,5399.08037964882,5669.25712733706,5952.94272347046,6250.81259752514,6563.575955286,6891.97749330212,7547.0435199495,7598.86178217976,7979.02761392661,8378.20172303247,8797.1520517049
"Jasa Keuangan Lainnya","Jasa",7566.37877443533,6971.76610988682,7320.39942470677,7686.46441152698,8071.16333038926,8475.24868647767,8899.53830255892,9345.04241099676,9812.82172155212,10303.9899931913,11746.3610770382,11361.2297021445,11929.8183769641,12526.83648616,13153.3515662511
"Jasa Penunjang Keuangan","Jasa",1360.39799770926,951.091324894089,998.663582854645,1048.61445713101,1101.15901413403,1156.39973954074,1214.40251434651,1275.30541906034,1339.25347120223,1406.39891953876,1931.51523763448,1550.92951313584,1628.65877053022,1710.27448611443,1795.86809389615
"Real Estate","Jasa",150.107777782015,152.220300470372,159.831691966878,167.823652962526,176.217440245612,185.032816671449,194.288961883689,204.007914419147,214.212814620764,224.927959738905,241.315283873575,247.99230967985,260.396429667594,273.420755551648,287.093913023931
"Jasa Perusahaan","Jasa",9099.90813585686,8236.72686068243,8648.61448058031,9081.09649483926,9535.64884430464,10013.0778290968,10514.3782558912,11040.7437144758,11593.4274339769,12173.7453525033,14038.5343713084,13422.8796599464,14094.6701760119,14800.0502278657,15540.2216716993
"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",56411.8362057705,57884.6194044407,60778.863647074,63817.8201077017,67008.8624877213,70359.48402702,73877.636644452,77571.6968864784,81450.4601393034,85523.1615621844,91083.137934311,94289.6513585519,99004.3123248209,103954.706353277,109152.472258577
"Jasa Pendidikan","Jasa",42396.1517397512,44108.0739809163,46313.482827634,48629.1621108227,51060.6763832829,53613.7794733548,56294.5377085109,59109.3338634577,62064.8698198828,65168.1825807421,68815.1281046677,71848.0633182177,75440.5357020071,79212.6317950412,83173.2780122765
"Jasa Kesehatan dan Kegiatan Sosial","Jasa",47494.3767884016,49531.1189964024,52007.6890887716,54608.0876796816,57338.6571311693,60205.7838037444,63216.266826173,66377.2739936199,69696.3315225216,73181.341938005,77162.4988273567,80682.8268314258,84717.1620048623,88953.213939578,93400.9069280072
"Jasa lainnya","Jasa",43071.8056057838,43810.8286906873,46023.1086404073,48346.0025831845,50785.3655500731,53544.0594716533,56440.6880790374,59482.1481262625,62675.6811701435,66028.8908636998,70917.6712448029,73246.67473459,77128.4341012711,81204.2814456003,85483.5740506878
"Lainnya","Lainnya",23.8485912719668,25.0410220410536,26.2930723394473,27.6077247509312,28.9881073720124,30.4375179643963,31.9593918534687,33.5573582315063,35.2352321705239,36.9969905644142,38.8468364761696,40.7891831219318,42.8286378579041,44.9700745727531,47.2185774977318
