"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"20",-83027.8941032879,-7654.05255851331,-7921.080871641,-8183.93397416393,-8445.81822594383,-8709.34864171513,-8976.663720635,-9249.54209938881,-9529.46291977819,-9817.68093386811,-10115.2643017975,-10423.1419528925,-10742.1325231707,-11072.9740561446,-11416.3309340193
"21",-5797.48149860745,-534.449639743758,-553.095080753785,-571.448984751243,-589.73523818082,-608.136436083065,-626.801900653494,-645.85582669796,-665.40149624138,-685.5265231784,-706.305492502264,-727.803267341,-750.077009984683,-773.178254299712,-797.153391190714
"22",-10993.9049978015,-1013.48983461778,-1048.84763740604,-1083.65259146452,-1118.32925762275,-1153.22389600616,-1188.61967069496,-1224.75209359408,-1261.81702118105,-1299.98059865545,-1339.38426334451,-1380.15101512619,-1422.38925499124,-1466.1967053252,-1511.66134029179
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",-254234.959276628,-23437.0359624157,-24254.6880711637,-25059.5554958932,-25861.4562656991,-26668.3976560647,-27486.9278483192,-28322.493107915,-29179.6226167204,-30062.1584963155,-30973.3714747864,-31916.1059884744,-32892.8687559798,-33905.9196691923,-34957.2930840909
"25",-1340.67130670723,-123.59182124424,-127.903591359483,-132.147943398328,-136.37665118317,-140.631939978598,-144.948340632532,-149.354573280943,-153.874521852875,-158.528447233949,-163.333597155999,-168.304971319269,-173.455788545307,-178.797966150465,-184.342231823604
"26",-3964.9821593177,-365.517904246458,-378.269793244312,-390.822295978303,-403.328531377008,-415.913379017683,-428.678962484461,-441.710220473737,-455.07778891889,-468.841588344694,-483.052628630277,-497.755270377927,-512.988607901711,-528.787885822905,-545.184831619661
"27",-843195.352901797,-77731.244619855,-80443.0685815965,-83112.4909117019,-85772.0740164837,-88448.3748430854,-91163.1110777601,-93934.3457681262,-96777.1004559305,-99704.1178430349,-102726.245686661,-105852.917812083,-109092.448019435,-112452.331418751,-115939.315252063
"28",-594404.696904099,-54796.1000270047,-56707.7814683412,-58589.572158815,-60464.4267623883,-62351.0664152609,-64264.8008228082,-66218.3634429788,-68222.3435756075,-70285.7241189568,-72416.1521350134,-74620.2778946939,-76903.9621635268,-79272.4885858616,-81730.6135410746
"29",-29206.1094341809,-2692.40956985392,-2786.34014784695,-2878.80204421492,-2970.92313423019,-3063.62328339037,-3157.65473491117,-3253.64314835301,-3352.10882897582,-3453.49315256467,-3558.17185635425,-3666.47170444031,-3778.68066430998,-3895.05834794731,-4015.83846107348
"30",82688.5313859183,497016.813347348,511049.176789255,524510.342752806,537679.88458216,550779.21592867,563985.085270905,577439.77063827,591258.992012778,605537.892918207,620355.736420428,635779.499120128,651866.690865314,668667.572258847,686226.884374902
"31",-8052.82278584277,-742.361702692622,-768.260609451878,-793.754565123463,-819.154552681755,-844.714200523273,-870.640920452044,-897.107221267239,-924.256564124194,-952.210646510164,-981.073068984202,-1010.93392666789,-1041.87261949907,-1073.9607301555,-1107.26269528102
"32",-26433.4914647111,-2436.81156954014,-2521.82505525552,-2605.50928324881,-2688.88505922329,-2772.78492284979,-2857.88970575183,-2944.7656687881,-3033.88372586568,-3125.64335106514,-3220.38461241026,-3318.40325174326,-3419.9598991595,-3525.28952315895,-3634.60364102501
"33",-13281.9292815879,-1224.41482857045,-1267.1312101649,-1309.17968522029,-1351.07317351029,-1393.22999775733,-1435.99225261631,-1479.64446569028,-1524.42325441462,-1570.52934130981,-1618.13359897673,-1667.38462716467,-1718.41338397656,-1771.33793250106,-1826.26455433482
"34",-107055.87507754,-9869.10848733081,-10213.4138571633,-10552.3357237611,-10890.0083597582,-11229.8035548652,-11574.4786709648,-11926.3270968116,-12287.2560170856,-12658.8833209986,-13042.5862612762,-13439.5626248901,-13850.867953948,-14277.4538568311,-14720.1770087398
"35",-129156.381859365,-11906.4772841656,-12321.8607024662,-12730.7492625625,-13138.1306963399,-13548.072858522,-13963.9023732904,-14388.3860305765,-14823.8247474685,-15272.1704126825,-15735.0846105418,-16214.0123702972,-16710.2271453973,-17224.877018748,-17758.9954891272
"36",-104259.18919566,-9611.29175109096,-9946.60262168222,-10276.6706260447,-10605.5220336443,-10936.4405455143,-11272.1115146391,-11614.7683851835,-11966.2685463163,-12328.1875896945,-12701.8668330386,-13088.4727351188,-13489.033284811,-13904.4752326082,-14335.63285305
"37",-276959.647711305,-25531.9458906848,-26422.6834906639,-27299.4936718786,-28173.0720197668,-29052.1415372643,-29943.8357206178,-30854.0876314897,-31787.8313150626,-32749.2523038329,-33741.9136862075,-34768.9141506155,-35832.9844567991,-36936.5865112647,-38081.9365100372
"38",-127425.172466594,-11746.8831105554,-12156.698739805,-12560.1065662767,-12962.0274667633,-13366.4747833895,-13776.7305152874,-14195.524406571,-14625.1265185189,-15067.462563165,-15524.1718713349,-15996.6800897905,-16486.243614744,-16993.9951403744,-17520.9542961156
