"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"11",20844900.3224,21887145.3328,22981502.6056,24130577.7328,25337106.6168,26603961.9472,27934160.0472,29330868.0456,30797411.4536,32337282.0232,33954146.1248,35651853.4328,37434446.104,39306168.4136,41271476.8312
"12",18365816.0194,19284106.8212,20248312.1606,21260727.7678,22323764.162,23439952.3701,24611949.9857,25842547.4854,27134674.8605,28491408.5973,29915979.0309,31411777.9812,32982366.8786,34631485.23,36363059.4832
"13",974261.5432,1022974.62,1074123.3512,1127829.5192,1184220.9952,1243432.0448,1305603.6472,1370883.8296,1439428.0208,1511399.4216,1586969.3928,1666317.8624,1749633.7552,1837115.4432,1928971.2152
"14",24747622.2791,25985003.3933,27284253.5637,28648466.2387,30080889.5548,31584934.0296,33164180.7301,34822389.7693,36563509.2585,38391684.7202,40311268.9567,42326832.4038,44443174.0235,46665332.7259,48998599.3595
"15",2436644.37836,2558476.59734,2686400.4273,2820720.44882,2961756.47092,3109844.2949,3265336.50918,3428603.33498,3600033.50176,3780035.1766,3969036.93574,4167488.78262,4375863.22172,4594656.38262,4824389.20172
"16",91991.8821,96591.47622,101421.05004,106492.10256,111816.70764,117407.54304,123277.92018,129441.81618,135913.90704,142709.60238,149845.08246,157337.33664,165204.20346,173464.4136,182137.63428
"17",553686.7572,581371.09515,610439.64975,640961.63235,673009.7139,706660.19955,741993.20955,779092.87005,818047.51335,858949.88895,901897.3836,946992.2526,994341.8655,1044058.95855,1096261.9065
"18",7919855.604,8315848.384,8731640.804,9168222.844,9626633.988,10107965.688,10613363.972,11144032.168,11701233.776,12286295.468,12900610.24,13545640.752,14222922.788,14934068.928,15680772.376
"19",6142901.1963,6450046.2552,6772548.5704,7111175.9977,7466734.7985,7840071.5369,8232075.1171,8643678.8696,9075862.8143,9529655.9541,10006138.7515,10506445.6906,11031767.9733,11583356.3741,12162524.1925
"20",5322946.0652,5589093.3647,5868548.0327,6161975.4341,6470074.2098,6793577.917,7133256.8152,7489919.6569,7864415.6381,8257636.4193,8670518.2405,9104044.1537,9559246.3588,10037208.6805,10539069.111
"21",1260575.66184,1323604.4448,1389784.6677,1459273.90092,1532237.5959,1608849.47586,1689291.94962,1773756.54654,1862444.3739,1955566.59276,2053344.9222,2156012.16864,2263812.77694,2377003.41582,2495853.58704
"22",562492.02933,590616.63078,620147.462286,651154.83543,683712.57702,717898.2063,753793.11612,791482.77186,831056.91108,872609.75604,916240.24404,962052.25644,1010154.86946,1060662.6129,1113695.74338
"23",113349.580938,119017.060008,124967.912982,131216.308608,137777.124078,144665.980272,151899.279312,159494.243238,167468.95539,175842.403176,184634.523348,193866.249522,203559.562008,213737.540082,224424.417096
"24",15811091.1504,16601645.7104,17431727.9922,18303314.3946,19218480.1134,20179404.12,21188374.326,22247793.0392,23360182.6924,24528191.8264,25754601.4202,27042331.4878,28394448.0656,29814170.4664,31304878.9922
"25",391099.73868,410654.725614,431187.461856,452746.834966,475384.17671,499153.385524,524111.054826,550316.60752,577832.437896,606724.059808,637060.26285,668913.275928,702358.939776,737476.886696,774350.731048
"26",697672.84041,732556.48221,769184.30673,807643.52172,848025.69768,890426.98269,934948.33173,981695.7486,1030780.53603,1082319.5628,1136435.54094,1193257.31805,1252920.18411,1315566.19341,1381344.50286
"27",41208423.204,43268844.366,45432286.584,47703900.912,50089095.96,52593550.758,55223228.298,57984389.712,60883609.2,63927789.66,67124179.14,70480388.1,74004407.52,77704627.86,81589859.28
"28",43275663.544,45439446.72,47711419.056,50096990.008,52601839.512,55231931.48,57993528.056,60893204.464,63937864.68,67134757.92,70491495.816,74016070.608,77716874.136,81602717.84,85682853.76
"29",4651408.10016,4883978.50533,5128177.43088,5384586.3021,5653815.6168,5936506.39764,6233331.71817,6544998.30339,6872248.2186,7215860.62953,7576653.66129,7955486.3448,8353260.6588,8770923.6966,9209469.879
"30",4284242.04572,4498454.14808,4723376.85578,4959545.69868,5207522.98354,5467899.13268,5741294.08924,6028358.79348,6329776.73308,6646265.56966,6978578.84818,7327507.7907,7693883.1782,8078577.336,8482506.2028
