"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"13",-9714.88155066341,-15956.0033688101,-13741.8068639353,-13979.2012673144,-13907.0554754685,-13715.4298629271,-13466.3563782748,-13373.5159940944,-12318.1813403679,-10711.7436245702,-9006.07803532534,-7172.59366525701,-5269.95228713624,-3185.62349384112,-977.315391291287,1386.74136214104
"14",-430959.555045546,-707820.478824566,-609597.033155375,-620128.030155197,-616927.587659234,-608426.929404786,-597377.839693997,-593259.369450637,-546443.919162733,-475181.117033129,-399516.490532881,-318181.725463632,-233779.102841142,-141316.687836927,-43354.4561392895,61516.9044809706
"15",-46800.8782615866,-76867.1205400244,-66200.3573333825,-67343.9911024959,-66996.4329436908,-66073.2876605181,-64873.3905959055,-64426.1374305989,-59342.123962579,-51603.2034699343,-43386.2584462051,-34553.5538639301,-25387.6894091493,-15346.5563666633,-4708.16019781508,6680.5460614136
"16",-30953.6683421168,-50839.2031026888,-43784.3045029171,-44540.6933336358,-44310.8215483984,-43700.2617846624,-42906.6609878993,-42610.8518648964,-39248.3323524172,-34129.8818476629,-28695.2703644598,-22853.4011814224,-16791.1831390715,-10150.0705446143,-3113.93364158805,4418.45142210545
"17",-35588.4362711532,-58451.4804554227,-50340.2347531765,-51209.8794862158,-50945.5884665813,-50243.6081320313,-49331.1795301243,-48991.0781964881,-45125.0804438172,-39240.2319359472,-32991.8828723047,-26275.2964357899,-19305.367766389,-11669.8652577233,-3580.19048848567,5080.03688244166
"18",-101827.232782265,-167244.001936876,-144035.74137402,-146524.007974613,-145767.806627849,-143759.268912728,-141148.587188945,-140175.473996733,-129113.907581319,-112275.914627566,-94397.8575391561,-75180.05866007,-55237.3856041222,-33390.3427798567,-10243.8018749121,14535.2297668863
"19",-31337.8174842515,-51470.140801021,-44327.6877070206,-45093.463626124,-44860.7390518391,-44242.6019939335,-43439.1522043885,-43139.671955522,-39735.4220371015,-34553.4492623179,-29051.3917485676,-23137.0223133348,-16999.5693797173,-10276.0375504849,-3152.57897900972,4473.28641873185
"20",-4999.44348834519,-8211.23106206024,-7071.76783388401,-7193.93503486896,-7156.8075837395,-7058.19377695799,-6930.01632110614,-6882.23907699029,-6339.14589452945,-5512.44568912435,-4634.68112816405,-3691.13884812974,-2712.0071929271,-1639.37610047694,-502.943143770175,713.640720822379
"21",-86112.6633752159,-141433.937172062,-121807.30999675,-123911.572879958,-123272.072923012,-121573.504377455,-119365.71820623,-118542.781487288,-109188.300200395,-94948.8440204152,-79829.8324293856,-63577.8357771094,-46712.8317501929,-28237.3513370324,-8662.91893157834,12292.0687688556
"22",-626357.570824101,-1028747.84993256,-885989.676633933,-901295.450859098,-896643.921021728,-884289.045089939,-868230.273625468,-862244.4799002,-794202.801117487,-690629.286660901,-580658.151223,-462446.023717506,-339775.065280956,-205389.986725621,-63011.462481776,89408.8050748102
