"","ID","Sektor","Total","Padat_Ditimbun_di_TPA","Padat_Ditimbun_Lubang","Padat_Kompos","Padat_3R","Padat_ins_sampah_domestik","Padat_ins_sampah_industri","Padat_dibakar_terbuka","Padat_tidak_terkelola","Cair_septic_tank","Cair_MCK_plus","Cair_IPAL_Aerob","Cair_IPAL_Anaerob","Cair_tidak_terkelola","Cair_Biogas","Cair_Pengolahan_KIMIA","Cair_3R"
"42",42,"Kopra dan Minyak Hewani dan Nabati ",9414.184783,6.505821,0,0.3438512,0,0,0,15.0278604,14.5472502,8436.232896,0,0,11.253312,930.273792,0,0,0
"43",43,"Beras ",2895.041315,2.000664,0,0.1057408,0,0,0,4.6213536,4.4735568,2594.302464,0,0,3.460608,286.076928,0,0,0
"44",44,"Tepung Terigu ",1007.939859,0.69655275,0,0.0368148,0,0,0,1.6089741,1.55751705,903.234384,0,0,1.204848,99.600768,0,0,0
"45",45,"Tepung Lainnya ",1021.19113,0.70571025,0,0.0372988,0,0,0,1.6301271,1.57799355,915.109104,0,0,1.220688,100.910208,0,0,0
"46",46,"Roti, Biskuit, dan Sejenisnya ",188.2885143,0.13011975,0,0.0068772,0,0,0,0.3005649,0.29095245,168.728976,0,0,0.225072,18.605952,0,0,0
"47",47,"Mie, Makaroni, dan Sejenisnya ",487.887705,0.3371625,0,0.01782,0,0,0,0.778815,0.7539075,437.2056,0,0,0.5832,48.2112,0,0,0
"48",48,"Gula ",470.7815188,0.325341,0,0.0171952,0,0,0,0.7515084,0.7274742,421.876416,0,0,0.562752,46.520832,0,0,0
"49",49,"Biji-Bijian Kupasan, Coklat Bubuk, dan Kembang Gula ",55.414406,0.038295,0,0.002024,0,0,0,0.088458,0.085629,49.65792,0,0,0.06624,5.47584,0,0,0
"50",50,"Kopi Giling dan Kupasan ",461.7465613,0.31909725,0,0.0168652,0,0,0,0.7370859,0.71351295,413.780016,0,0,0.551952,45.628032,0,0,0
"51",51,"Makanan Lainnya ",123.8391508,0.085581,0,0.0045232,0,0,0,0.1976844,0.1913622,110.974656,0,0,0.148032,12.237312,0,0,0
"52",52,"Pakan Ternak ",44.572457,0.0308025,0,0.001628,0,0,0,0.071151,0.0688755,39.94224,0,0,0.05328,4.40448,0,0,0
"53",53,"Minuman (termasuk Minuman Beralkohol) ",328.5110547,0.22702275,0,0.0119988,0,0,0,0.5244021,0.50763105,294.385104,0,0,0.392688,32.462208,0,0,0
"54",54,"Tembakau Olahan dan Rokok ",1.0841949,0.00074925,0,3.96e-05,0,0,0,0.0017307,0.00167535,0.971568,0,0,0.001296,0.107136,0,0,0
"55",55,"Kapuk Bersih ",9.2758897,0.00641025,0,0.0003388,0,0,0,0.0148071,0.01433355,8.312304,0,0,0.011088,0.916608,0,0,0
"56",56,"Benang Sutra ",60.8353805,0.04204125,0,0.002222,0,0,0,0.0971115,0.09400575,54.51576,0,0,0.07272,6.01152,0,0,0
"57",57,"Benang ",8.7940253,0.00607725,0,0.0003212,0,0,0,0.0140379,0.01358895,7.880496,0,0,0.010512,0.868992,0,0,0
"58",58,"Tekstil Sutera ",23.3704234,0.0161505,0,0.0008536,0,0,0,0.0373062,0.0361131,20.942688,0,0,0.027936,2.309376,0,0,0
"59",59,"Tekstil ",86.9765242,0.0601065,0,0.0031768,0,0,0,0.1388406,0.1344003,77.941344,0,0,0.103968,8.594688,0,0,0
"60",60,"Tekstil Jadi dan Pakaian Jadi ",69.870338,0.048285,0,0.002552,0,0,0,0.111534,0.107967,62.61216,0,0,0.08352,6.90432,0,0,0
"61",61,"Permadani,Tali, dan Tekstil Lainnya ",91.6747021,0.06335325,0,0.0033484,0,0,0,0.1463403,0.14166015,82.151472,0,0,0.109584,9.058944,0,0,0
"62",62,"Kulit Samakan dan Olahan, serta Barang-Barang dari Kulit dan Alas Kaki ",10.2396185,0.00707625,0,0.000374,0,0,0,0.0163455,0.01582275,9.17592,0,0,0.01224,1.01184,0,0,0
"63",63,"Kayu Gergajian dan Awetan ",1425.957226,0.98543025,0,0.0520828,0,0,0,2.2762551,2.20345755,1277.827824,0,0,1.704528,140.907648,0,0,0
"64",64,"Kayu Lapis dan Sejenisnya ",8900.3867,0,0,3729.527251,2742.299449,0,0,0,0,2184.732576,0,0,2.914272,240.913152,0,0,0
"65",65,"Bahan Bangunan dari Kayu ",1175.026339,0.8120205,0,0.0429176,0,0,0,1.8756942,1.8157071,1052.963808,0,0,1.404576,116.111616,0,0,0
