"","ID_LC1","ID_LC2","variable","value"
"332",10,15,"COUNT",0
"333",11,15,"COUNT",20
"334",12,15,"COUNT",0
"335",13,15,"COUNT",0
"336",14,15,"COUNT",51
"337",15,15,"COUNT",111449
"338",16,15,"COUNT",0
"339",17,15,"COUNT",0
"340",18,15,"COUNT",0
"341",19,15,"COUNT",0
"342",20,15,"COUNT",0
"343",21,15,"COUNT",0
"344",22,15,"COUNT",0
"345",23,15,"COUNT",0
"346",1,16,"COUNT",0
"347",2,16,"COUNT",0
"348",3,16,"COUNT",0
"349",4,16,"COUNT",0
"350",5,16,"COUNT",0
"351",6,16,"COUNT",14
"352",7,16,"COUNT",0
"353",8,16,"COUNT",0
"354",9,16,"COUNT",7
"355",10,16,"COUNT",0
"356",11,16,"COUNT",0
"357",12,16,"COUNT",0
"358",13,16,"COUNT",0
"359",14,16,"COUNT",38
"360",15,16,"COUNT",10
"361",16,16,"COUNT",22509
"362",17,16,"COUNT",0
"363",18,16,"COUNT",0
"364",19,16,"COUNT",0
"365",20,16,"COUNT",0
"366",21,16,"COUNT",0
"367",22,16,"COUNT",0
"368",23,16,"COUNT",0
"369",1,17,"COUNT",0
"370",2,17,"COUNT",0
"371",3,17,"COUNT",0
"372",4,17,"COUNT",0
"373",5,17,"COUNT",0
"374",6,17,"COUNT",0
"375",7,17,"COUNT",0
"376",8,17,"COUNT",0
"377",9,17,"COUNT",0
"378",10,17,"COUNT",0
"379",11,17,"COUNT",0
"380",12,17,"COUNT",0
"381",13,17,"COUNT",0
"382",14,17,"COUNT",0
"383",15,17,"COUNT",0
"384",16,17,"COUNT",0
"385",17,17,"COUNT",1874
"386",18,17,"COUNT",0
"387",19,17,"COUNT",0
"388",20,17,"COUNT",0
"389",21,17,"COUNT",0
"390",22,17,"COUNT",0
"391",23,17,"COUNT",0
"392",1,18,"COUNT",0
"393",2,18,"COUNT",355
"394",3,18,"COUNT",0
"395",4,18,"COUNT",0
"396",5,18,"COUNT",0
"397",6,18,"COUNT",0
"398",7,18,"COUNT",0
"399",8,18,"COUNT",0
"400",9,18,"COUNT",38
"401",10,18,"COUNT",0
"402",11,18,"COUNT",0
"403",12,18,"COUNT",0
"404",13,18,"COUNT",0
"405",14,18,"COUNT",50
"406",15,18,"COUNT",0
"407",16,18,"COUNT",0
"408",17,18,"COUNT",0
"409",18,18,"COUNT",10314
"410",19,18,"COUNT",0
"411",20,18,"COUNT",4
"412",21,18,"COUNT",0
"413",22,18,"COUNT",0
"414",23,18,"COUNT",0
"415",1,19,"COUNT",0
"416",2,19,"COUNT",273
"417",3,19,"COUNT",0
"418",4,19,"COUNT",0
"419",5,19,"COUNT",0
"420",6,19,"COUNT",0
"421",7,19,"COUNT",0
"422",8,19,"COUNT",0
"423",9,19,"COUNT",40
"424",10,19,"COUNT",0
"425",11,19,"COUNT",0
"426",12,19,"COUNT",0
"427",13,19,"COUNT",0
"428",14,19,"COUNT",38
"429",15,19,"COUNT",0
"430",16,19,"COUNT",0
"431",17,19,"COUNT",0
"432",18,19,"COUNT",68
"433",19,19,"COUNT",2055
"434",20,19,"COUNT",0
"435",21,19,"COUNT",0
"436",22,19,"COUNT",0
"437",23,19,"COUNT",0
"438",1,20,"COUNT",0
"439",2,20,"COUNT",0
"440",3,20,"COUNT",0
"441",4,20,"COUNT",0
"442",5,20,"COUNT",0
"443",6,20,"COUNT",0
"444",7,20,"COUNT",0
"445",8,20,"COUNT",0
"446",9,20,"COUNT",0
"447",10,20,"COUNT",0
"448",11,20,"COUNT",0
"449",12,20,"COUNT",0
"450",13,20,"COUNT",0
"451",14,20,"COUNT",0
"452",15,20,"COUNT",0
"453",16,20,"COUNT",0
"454",17,20,"COUNT",0
"455",18,20,"COUNT",0
"456",19,20,"COUNT",0
"457",20,20,"COUNT",111939
"458",21,20,"COUNT",0
"459",22,20,"COUNT",0
"460",23,20,"COUNT",0
"461",1,21,"COUNT",0
"462",2,21,"COUNT",0
"463",3,21,"COUNT",0
"464",4,21,"COUNT",0
"465",5,21,"COUNT",0
"466",6,21,"COUNT",0
"467",7,21,"COUNT",0
"468",8,21,"COUNT",0
"469",9,21,"COUNT",0
"470",10,21,"COUNT",0
"471",11,21,"COUNT",0
"472",12,21,"COUNT",0
"473",13,21,"COUNT",0
"474",14,21,"COUNT",0
"475",15,21,"COUNT",0
"476",16,21,"COUNT",0
"477",17,21,"COUNT",0
"478",18,21,"COUNT",0
"479",19,21,"COUNT",0
"480",20,21,"COUNT",0
"481",21,21,"COUNT",0
"482",22,21,"COUNT",0
"483",23,21,"COUNT",0
"484",1,22,"COUNT",0
"485",2,22,"COUNT",0
"486",3,22,"COUNT",0
"487",4,22,"COUNT",0
"488",5,22,"COUNT",0
"489",6,22,"COUNT",0
"490",7,22,"COUNT",0
"491",8,22,"COUNT",0
"492",9,22,"COUNT",0
"493",10,22,"COUNT",0
"494",11,22,"COUNT",0
"495",12,22,"COUNT",0
"496",13,22,"COUNT",0
"497",14,22,"COUNT",0
"498",15,22,"COUNT",0
"499",16,22,"COUNT",0
"500",17,22,"COUNT",0
"501",18,22,"COUNT",0
"502",19,22,"COUNT",0
"503",20,22,"COUNT",0
"504",21,22,"COUNT",0
"505",22,22,"COUNT",0
"506",23,22,"COUNT",0
"507",1,23,"COUNT",0
"508",2,23,"COUNT",0
"509",3,23,"COUNT",0
"510",4,23,"COUNT",0
"511",5,23,"COUNT",0
"512",6,23,"COUNT",0
"513",7,23,"COUNT",0
"514",8,23,"COUNT",0
"515",9,23,"COUNT",0
"516",10,23,"COUNT",0
"517",11,23,"COUNT",0
"518",12,23,"COUNT",0
"519",13,23,"COUNT",0
"520",14,23,"COUNT",0
"521",15,23,"COUNT",0
"522",16,23,"COUNT",0
"523",17,23,"COUNT",0
"524",18,23,"COUNT",0
"525",19,23,"COUNT",0
"526",20,23,"COUNT",0
"527",21,23,"COUNT",0
"528",22,23,"COUNT",0
"529",23,23,"COUNT",942
