Industri Bubur Kertas (Pulp) dan barang2 dari kertas,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Industri Bubur Kertas (Pulp) dan barang2 dari kertas,6065880.727,6369174.763,6687633.502,7022015.177,7373115.936,7741771.732,8128860.319,8535303.335,8962068.502,9410171.927,9880680.523,10374714.55,10893450.28,11438122.79,12010028.93,12610530.38,,Industri Bubur Kertas (Pulp) dan barang2 dari kertas,10786111.58,11325417.16,11891688.01,12486272.41,13110586.03,13766115.34,14454421.1,15177142.16,15935999.27,16732799.23,17569439.19,18447911.15,19370306.71,20338822.04,21355763.15,22423551.3
Industri Barang Galian Bukan Logam,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Industri Barang Galian Bukan Logam,423554.417,444732.1379,466968.7448,490317.182,514833.0411,540574.6932,567603.4279,595983.5992,625782.7792,657071.9182,689925.5141,724421.7898,760642.8793,798675.0232,838608.7744,880539.2131,,Industri Barang Galian Bukan Logam,1819012.499,1909963.124,2005461.28,2105734.345,2211021.062,2321572.115,2437650.721,2559533.257,2687509.919,2821885.415,2962979.686,3111128.67,3266685.104,3430019.359,3601520.327,3781596.344
"Industri Barang dari logam, bukan mesin dan perlatan",5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,"Industri Barang dari logam, bukan mesin dan perlatan",803196.53,843356.3565,885524.1743,929800.383,976290.4022,1025104.922,1076360.168,1130178.177,1186687.086,1246021.44,1308322.512,1373738.638,1442425.569,1514546.848,1590274.19,1669787.9,,"Industri Barang dari logam, bukan mesin dan perlatan",811676.81,852260.6505,894873.683,939617.3671,986598.2355,1035928.147,1087724.555,1142110.782,1199216.321,1259177.138,1322135.994,1388242.794,1457654.934,1530537.681,1607064.565,1687417.793
Industri Kendaraan bermotor dan alat angkutan,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Industri Kendaraan bermotor dan alat angkutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Industri Kendaraan bermotor dan alat angkutan,163563.6089,171741.7893,180328.8788,189345.3227,198812.5888,208753.2183,219190.8792,230150.4232,241657.9443,253740.8415,266427.8836,279749.2778,293736.7417,308423.5788,323844.7577,340036.9956
Industri Migas,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Industri Migas,18573985.96,19502685.26,20477819.52,21501710.5,22576796.02,23705635.82,24890917.61,26135463.49,27442236.67,28814348.5,30255065.93,31767819.22,33356210.18,35024020.69,36775221.73,38613982.81,,Industri Migas,24287390.4,25501759.92,26776847.92,28115690.31,29521474.83,30997548.57,32547426,34174797.3,35883537.16,37677714.02,39561599.72,41539679.71,43616663.69,45797496.88,48087371.72,50491740.31
Industri barang-barang lainnya,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Industri barang-barang lainnya,97947.23,102844.5915,107986.8211,113386.1621,119055.4702,125008.2437,131258.6559,137821.5887,144712.6682,151948.3016,159545.7167,167523.0025,175899.1526,184694.1102,193928.8158,203625.2565,,Industri barang-barang lainnya,433111.56,454767.138,477505.4949,501380.7696,526449.8081,552772.2985,580410.9134,609431.4591,639903.032,671898.1836,705493.0928,740767.7475,777806.1348,816696.4416,857531.2636,900407.8268
"Listrik,  Gas dan Air bersih",5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,"Listrik,  Gas dan Air bersih",289675.0439,304158.796,319366.7359,335335.0726,352101.8263,369706.9176,388192.2635,407601.8766,427981.9705,449381.069,471850.1224,495442.6286,520214.76,546225.498,573536.7729,602213.6115,,"Listrik,  Gas dan Air bersih",1054683.054,1107417.207,1162788.067,1220927.471,1281973.844,1346072.536,1413376.163,1484044.971,1558247.22,1636159.581,1717967.56,1803865.938,1894059.235,1988762.197,2088200.307,2192610.322
Bangunan,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Bangunan,61602458.97,64682581.92,67916711.01,71312546.56,74878173.89,78622082.58,82553186.71,86680846.05,91014888.35,95565632.77,100343914.4,105361110.1,110629165.6,116160623.9,121968655.1,128067087.9,,Bangunan,65410195.57,68680705.34,72114740.61,75720477.64,79506501.52,83481826.6,87655917.93,92038713.83,96640649.52,101472682,106546316.1,111873631.9,117467313.5,123340679.2,129507713.1,135983098.8
Perdagangan,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Perdagangan,43426224.81,45597536.05,47877412.85,50271283.5,52784847.67,55424090.05,58195294.56,61105059.28,64160312.25,67368327.86,70736744.25,74273581.47,77987260.54,81886623.57,85980954.75,90280002.48,,Perdagangan,51518647.07,54094579.43,56799308.4,59639273.82,62621237.51,65752299.39,69039914.35,72491910.07,76116505.58,79922330.85,83918447.4,88114369.77,92520088.26,97146092.67,102003397.3,107103567.2
Hotel dan Restoran,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Hotel dan Restoran,2133750.088,2240437.592,2352459.472,2470082.445,2593586.568,2723265.896,2859429.191,3002400.65,3152520.683,3310146.717,3475654.053,3649436.755,3831908.593,4023504.023,4224679.224,4435913.185,,Hotel dan Restoran,5469027.749,5742479.136,6029603.093,6331083.248,6647637.41,6980019.28,7329020.244,7695471.257,8080244.819,8484257.06,8908469.913,9353893.409,9821588.08,10312667.48,10828300.86,11369715.9
Angkutan jalan raya,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Angkutan jalan raya,2767969.477,2906367.951,3051686.348,3204270.666,3364484.199,3532708.409,3709343.829,3894811.021,4089551.572,4294029.15,4508730.608,4734167.138,4970875.495,5219419.27,5480390.234,5754409.745,,Angkutan jalan raya,5513825.027,5789516.278,6078992.092,6382941.697,6702088.782,7037193.221,7389052.882,7758505.526,8146430.802,8553752.342,8981439.959,9430511.957,9902037.555,10397139.43,10916996.4,11462846.22
"Angkutan sungai, danau dan penyeberangan",5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,"Angkutan sungai, danau dan penyeberangan",588325.9242,617742.2204,648629.3314,681060.798,715113.8379,750869.5298,788413.0063,827833.6566,869225.3394,912686.6064,958320.9367,1006236.984,1056548.833,1109376.274,1164845.088,1223087.342,,"Angkutan sungai, danau dan penyeberangan",967802.8044,1016192.945,1067002.592,1120352.721,1176370.358,1235188.875,1296948.319,1361795.735,1429885.522,1501379.798,1576448.788,1655271.227,1738034.789,1824936.528,1916183.354,2011992.522
Angkutan udara,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Angkutan udara,1931187.201,2027746.561,2129133.889,2235590.584,2347370.113,2464738.618,2587975.549,2717374.327,2853243.043,2995905.195,3145700.455,3302985.478,3468134.752,3641541.489,3823618.564,4014799.492,,Angkutan udara,2452826.331,2575467.648,2704241.03,2839453.082,2981425.736,3130497.022,3287021.874,3451372.967,3623941.616,3805138.696,3995395.631,4195165.413,4404923.683,4625169.868,4856428.361,5099249.779
Jasa penunjang angkutan,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Jasa penunjang angkutan,970355.8026,1018873.593,1069817.272,1123308.136,1179473.543,1238447.22,1300369.581,1365388.06,1433657.463,1505340.336,1580607.353,1659637.721,1742619.607,1829750.587,1921238.116,2017300.022,,Jasa penunjang angkutan,1038979.663,1090928.646,1145475.078,1202748.832,1262886.274,1326030.587,1392332.117,1461948.722,1535046.159,1611798.466,1692388.39,1777007.809,1865858.2,1959151.11,2057108.665,2159964.098
Komunikasi,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Komunikasi,7821325.306,8212391.572,8623011.15,9054161.708,9506869.793,9982213.283,10481323.95,11005390.14,11555659.65,12133442.63,12740114.77,13377120.5,14045976.53,14748275.36,15485689.12,16259973.58,,Komunikasi,10715060.81,11250813.85,11813354.54,12404022.26,13024223.38,13675434.55,14359206.27,15077166.59,15831024.92,16622576.16,17453704.97,18326390.22,19242709.73,20204845.22,21215087.48,22275841.85
Bank dan lembaga keuangan lainnya,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Bank dan lembaga keuangan lainnya,9435951.808,9907749.398,10403136.87,10923293.71,11469458.4,12042931.32,12645077.88,13277331.78,13941198.37,14638258.28,15370171.2,16138679.76,16945613.75,17792894.43,18682539.15,19616666.11,,Bank dan lembaga keuangan lainnya,11314197.12,11879906.98,12473902.33,13097597.44,13752477.31,14440101.18,15162106.24,15920211.55,16716222.13,17552033.23,18429634.9,19351116.64,20318672.47,21334606.1,22401336.4,23521403.22
Real Estate dan Jasa Perusahaan,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Real Estate dan Jasa Perusahaan,7617004.058,7997854.261,8397746.974,8817634.323,9258516.039,9721441.841,10207513.93,10717889.63,11253784.11,11816473.32,12407296.98,13027661.83,13679044.92,14362997.17,15081147.03,15835204.38,,Real Estate dan Jasa Perusahaan,12770065.41,13408568.68,14078997.11,14782946.97,15522094.32,16298199.03,17113108.98,17968764.43,18867202.65,19810562.79,20801090.93,21841145.47,22933202.75,24079862.88,25283856.03,26548048.83
Pemerintahan umum,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Pemerintahan umum,20234214.14,21245924.85,22308221.09,23423632.14,24594813.75,25824554.44,27115782.16,28471571.27,29895149.83,31389907.32,32959402.69,34607372.82,36337741.47,38154628.54,40062359.97,42065477.96,,Pemerintahan umum,20234214.14,21245924.85,22308221.09,23423632.14,24594813.75,25824554.44,27115782.16,28471571.27,29895149.83,31389907.32,32959402.69,34607372.82,36337741.47,38154628.54,40062359.97,42065477.96
Jasa Pendidikan,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Jasa Pendidikan,9309472.51,9774946.136,10263693.44,10776878.11,11315722.02,11881508.12,12475583.53,13099362.7,13754330.84,14442047.38,15164149.75,15922357.24,16718475.1,17554398.85,18432118.8,19353724.74,,Jasa Pendidikan,10742660.27,11279793.28,11843782.95,12435972.1,13057770.7,13710659.24,14396192.2,15116001.81,15871801.9,16665391.99,17498661.59,18373594.67,19292274.4,20256888.13,21269732.53,22333219.16
Jasa Kesehatan dan Kegiatan Sosial,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Jasa Kesehatan dan Kegiatan Sosial,1798089.002,1887993.452,1982393.125,2081512.781,2185588.42,2294867.841,2409611.233,2530091.795,2656596.385,2789426.204,2928897.514,3075342.39,3229109.509,3390564.985,3560093.234,3738097.896,,Jasa Kesehatan dan Kegiatan Sosial,2646750.723,2779088.259,2918042.672,3063944.805,3217142.046,3377999.148,3546899.105,3724244.061,3910456.264,4105979.077,4311278.031,4526841.932,4753184.029,4990843.23,5240385.392,5502404.662
Jasa-jasa lainnya,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Jasa-jasa lainnya,1689535.81,1774012.601,1862713.231,1955848.892,2053641.337,2156323.403,2264139.574,2377346.552,2496213.88,2621024.574,2752075.803,2889679.593,3034163.572,3185871.751,3345165.339,3512423.606,,Jasa-jasa lainnya,3085024.62,3239275.851,3401239.643,3571301.625,3749866.707,3937360.042,4134228.044,4340939.446,4557986.419,4785885.74,5025180.027,5276439.028,5540260.979,5817274.028,6108137.73,6413544.616
Kegiatan yang tak jelas batasannya,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,Kegiatan yang tak jelas batasannya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Kegiatan yang tak jelas batasannya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
