"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"Savanna...Padang.rumput",91204.4003719484,90718.0230496541,90155.785100117,89402.7121045453,88455.9914831038,87311.7812598114,85965.2181380951,84410.4090350242,82640.4092357916,80647.189080693,78421.5901360404,75953.2719632544,73230.6493511852,70240.8204380487,66969.4856288126,63400.8569070533,59517.5573906949,55300.5104527006,50728.8179932806,45779.6271361714,40427.9845123704,34646.6773922527
"Pertanian.lahan.kering",42031.9995177863,43123.8009554404,44257.7703758036,45437.418544178,46665.561898907,47945.2297898049,49279.6815909638,50672.4252235208,52127.2372218256,53648.1843597301,55239.6471961069,56906.345316733,58653.3648824265,60486.1882835094,62410.7262434621,64433.352616027,66560.9419329019,68800.9101240324,71161.258507358,73650.6214154643,76278.3177152992,79054.4065398715
"Pertanian.lahan.kering..campur.semak...kebun.campur",1571956.75025601,1569178.05634099,1567670.38730501,1569991.08776953,1576240.63523009,1586536.66180634,1601014.94611109,1619830.50528057,1643158.79482241,1671197.0236329,1704165.59420762,1742309.67487374,1785900.91760814,1835239.33081503,1890655.31813488,1952511.89959538,2021207.12561795,2097176.70211543,2180896.84171428,2272887.36019003,2373715.03760357,2483997.26421397
"Sawah",608078.483082171,620070.591193563,632279.024335816,644726.383570182,657417.389119227,670356.845838124,683549.644594765,697000.763949981,710715.272664275,724698.33061573,738955.191561287,753491.202884008,768311.80839002,783422.549798179,798829.067404551,814537.102480828,830552.497258216,846881.197635121,863529.253775728,880502.821196853,897808.162132034,915451.64652576
"Tambak",112141.889394488,108812.605707427,105594.249005141,102394.467622575,99202.5287636091,96007.4034939527,92797.7478371907,89561.873315967,86287.7085904457,82962.7539837419,79574.0292754494,76108.0156794969,72550.5916755309,68886.9632069905,65101.58787129,61178.0928994113,57099.1867653478,52846.5638278269,48400.8016997354,43741.2507472842,38845.915087822,33691.3244749407
"Pemukiman",22593.956530182,22234.3659512108,21909.6474996592,21581.292316109,21237.5817321818,20869.1301983217,20468.1968106654,20028.1955440105,19543.3395809724,19008.3776098633,18418.3940854588,17768.6546912665,17054.4839093048,16271.1657352045,15413.8610641007,14477.5370486199,13456.9050559975,12346.3645855854,11139.9512855027,9831.2875156259,8413.53431238191,6879.34383925167
"Transmigrasi",1874.75946299796,1778.94437654499,1691.47928703031,1609.93715699576,1533.40632344137,1461.04959551262,1392.09538950118,1325.82954824749,1261.58779261579,1198.7487502773,1136.72750049793,1074.96958364217,1012.94541170649,950.145033764951,886.07320619958,820.244716215363,752.179922009288,681.400459658061,607.425084402314,529.765604065091,447.92286989059,361.382790736792
"Lahan.terbuka",9691.87724397053,9541.68023730898,9399.460621001,9248.27957214266,9085.70905888737,8909.4644241692,8717.36967266115,8507.32535231413,8277.27880819808,8025.1965203871,7749.03819292252,7446.73231776079,7116.15286140674,6755.09681792118,6361.26235680825,5932.22727763416,5465.4275687752,4958.13579513229,4407.4391245695,3810.216763842,3163.11658681045,2462.53076549844
"Pertambangan",2226.60014355862,2288.18345546711,2375.69873590609,2492.22587409012,2638.20523139421,2814.46267502202,3022.20555511593,3263.02406202376,3538.89777381984,3852.20726166683,4205.75073728527,4602.76573742792,5046.95597718235,5542.52349721321,6094.20637502349,6707.32224635174,7387.8180559102,8142.32643347175,8978.22919258265,9903.72860662003,10927.9270240807,12060.9156913329
"Tubuh.air",112002.5059096,111176.861663529,110331.434672301,109337.086964629,108188.295551973,106878.552667324,105400.367156373,103745.247579523,101903.67041389,99865.0355451299,97617.6102579622,95148.4628077664,92443.3854844667,89486.8076983246,86261.6988383332,82749.4604633071,78929.8077924504,74780.6394043335,70277.8949920384,65395.4000869335,60104.6968375223,54374.8600969286
"Rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Awan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bandara",941.999888070279,832.579876155753,735.789519945781,650.251484275396,574.657620570558,507.851862628741,448.812545400731,396.63677919551,350.526642011937,309.776974872427,273.764598204102,241.938780761259,213.812816962223,188.956583486078,166.989961141584,147.577021505096,130.420889563579,115.259203424274,101.860101945288,90.0186788396576,79.5538490864756,70.3055795409359
