"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"13",284266.276325701,298518.344278584,313402.386280953,329071.919593238,345524.923704337,362800.57216579,380981.331690438,400028.135131733,420027.256022008,441026.310205514,463075.29393449,486226.703614465,510535.660114571,536060.040721068,562860.616375958,591001.196434713,620503.121813682,651527.604318573,684103.304197163,718354.359336993,754269.054384737
"14",322216.14151941,338415.245626009,355240.614140794,373001.316857579,391650.041371192,411231.188690207,431885.549105305,453474.677907412,476143.211490322,499945.119854016,524937.071072626,551178.566851463,578732.083821434,607663.222533534,638040.863502111,669937.331334605,703324.545158319,738489.245947371,775412.166329245,814287.329844182,854994.817832525
"15",676587.565571159,710995.373030744,745920.955391675,783208.666304721,822360.679408765,863470.208808417,907251.654212283,952580.900514886,1000176.27579911,1050151.08316694,1102624.2907993,1157720.81537874,1215571.81931375,1276315.02304484,1340095.03305962,1407063.68620663,1476699.38455118,1550524.77073932,1628041.33037439,1710128.33628748,1795590.14399792
"16",659366.699477537,692628.461800972,726941.921847386,763284.133118815,801443.406187903,841510.593588721,883894.51833856,928071.624029617,974457.408847367,1023162.30487709,1074302.26600401,1127999.04359023,1184380.47695752,1243580.79594155,1305740.94452958,1371008.91159902,1439193.86702377,1511147.94611414,1586699.67142024,1666382.10637752,1749677.76737894
"17",3605601.21015309,3785881.33557725,3975175.33228939,4173934.09782292,4382630.80223575,4601762.34121181,4831850.52690925,5073443.04942923,5327115.19778592,5593470.95381065,5873144.49756234,6166801.71885867,6475141.800821,6798898.88694982,7138843.82741735,7495786.01105171,7870575.23221486,8264103.99310855,8677309.19455648,9111174.72821253,9566733.46392046
"18",149266.231583963,156815.864816234,164563.516268607,172790.452063107,181428.722220238,190498.89339644,200114.563013089,210115.320638495,220616.066518536,231641.799507464,243218.768445514,255374.534549028,268138.037286432,281539.662885613,295611.317035078,310386.500579609,325798.761532376,342087.274210567,359190.198302317,377251.924936641,396107.869066454
"19",514983.803750325,567679.969337435,566591.654518897,594337.90386022,623465.632288471,654043.855482094,715067.590231252,749057.048552511,784728.340724359,822165.381882151,861456.281388813,902693.552001932,945974.33087631,991400.609538839,1039079.47787198,1089123.37799942,1109701.88283526,1164516.450206,1222065.04074685,1315074.94280899,1378508.31287374
"20",10472.209545,10995.8200256,11545.6110242,12122.8915734,12729.0361514,13365.4879583,14033.7623599,14735.4504789,15472.2230005,16245.8341522,17058.1258578,17911.0321527,18806.58376,19746.912948,20734.2585954,21770.9715245,22859.5201024,24002.4961035,25202.620907,26462.7519557,27785.8895565
"21",913593.805451488,959466.700168768,1007231.5258168,1057590.30680024,1110466.99896354,1165987.49739517,1224489.93228858,1285703.28220581,1349977.18887279,1417464.67762198,1488326.42748944,1562731.14989433,1640855.99307555,1722886.96047375,1809019.35835244,1899458.25596807,1994191.49274461,2093897.85429304,2198589.50177536,2308747.75709949,2424170.23188786
"22",168341.364037568,176766.055111977,185596.052062054,194875.705213899,204619.339539995,214850.154123244,225600.673528032,236880.225083173,248723.749386984,261159.445015853,274216.920490231,287927.264800685,302323.121381168,317438.765630232,333310.186993867,349975.17427819,367464.385713081,385837.433221755,405129.13139367,425394.614018721,446663.707674581
