"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"11",3.38703457641865e-13,0.000351355638156718,5.28456288969171e-06,4.78338231016547e-06,4.34007436681731e-06,3.94756383308994e-06,3.5997464600412e-06,3.29126858433597e-06,3.0174160472932e-06,2.77405844224007e-06,2.55760149124758e-06,2.36485477260462e-06,2.19306059748834e-06,2.03973262432201e-06,1.90275653803884e-06,1.78020915434711e-06,1.67043754583686e-06,1.57196785240035e-06,1.48350330965354e-06,1.40390997380364e-06,1.33218119949242e-06,1.26742715365284e-06
"12",7.29555305056806e-13,-0.0050847730156661,-7.59929794320563e-05,-6.85694861973472e-05,-6.20129948192081e-05,-5.62166759208085e-05,-5.10884167437848e-05,-4.65475598226371e-05,-4.25231654660203e-05,-3.895312448139e-05,-3.57834422520451e-05,-3.29662628885345e-05,-3.04602080268609e-05,-2.82280626253718e-05,-2.6238151251478e-05,-2.44617415634599e-05,-2.2874114743221e-05,-2.14532828333065e-05,-2.01799068530913e-05,-1.90370769707453e-05,-1.8009827918445e-05,-1.70849098032957e-05
"13",3.63296198679919e-12,-0.012300771352666,-0.000183120307904062,-0.000164909502380153,-0.000148839735631432,-0.000134645986684022,-0.00012209986531702,-0.000111001512847462,-0.000101175298566368,-9.24675294219843e-05,-8.47446793699053e-05,-7.78884113652664e-05,-7.17965251829239e-05,-6.63771144354744e-05,-6.1551996733189e-05,-5.7250293487722e-05,-5.34110512621505e-05,-4.99801037047165e-05,-4.69097923895961e-05,-4.4158532661473e-05,-4.16894527277625e-05,-3.94700054113517e-05
"14",9.21875423220975e-14,-0.000219638651351023,-3.2780084245417e-06,-2.95575184539856e-06,-2.67122178135846e-06,-2.41976195239596e-06,-2.19735844297935e-06,-2.00049718558312e-06,-1.82608868926071e-06,-1.67142813373654e-06,-1.53416507829031e-06,-1.41221586439624e-06,-1.3037799512437e-06,-1.20723803223274e-06,-1.12121200720842e-06,-1.04445192355973e-06,-9.7588291163536e-07,-9.14548971422003e-07,-8.59609247050894e-07,-8.10329440026326e-07,-7.6605800970297e-07,-7.26219595596745e-07
"15",9.23979642797335e-13,-0.00540803724144717,-8.15232335521134e-05,-7.38737264502649e-05,-6.71038135976682e-05,-6.11062869521409e-05,-5.57886055639577e-05,-5.10695835340084e-05,-4.68776859853977e-05,-4.31502217741065e-05,-3.98326065777603e-05,-3.68764069699021e-05,-3.42396982454633e-05,-3.18846924900786e-05,-2.97792551999659e-05,-2.78941263396545e-05,-2.62041626561127e-05,-2.46869293648241e-05,-2.33226889566028e-05,-2.20941725603586e-05,-2.09860390344777e-05,-1.99847291025568e-05
"16",3.68124974947648e-12,-0.014424297138019,-0.0002161427443987,-0.000195284122352453,-0.000176850381281447,-0.000160543676439986,-0.000146107144410646,-0.000133315717944914,-0.000121971326122704,-0.000111900545808938,-0.000102952506665401,-9.49934021424875e-05,-8.79076392940326e-05,-8.15910788110885e-05,-7.59550627537631e-05,-7.09192412156612e-05,-6.64143744660076e-05,-6.23788872923248e-05,-5.87585823927234e-05,-5.55060027621901e-05,-5.25792800182348e-05,-4.99411804751118e-05
"17",6.78093692307868e-12,-0.0233690070730546,-0.000347011643671354,-0.000312105034697151,-0.00028131953585657,-0.000254143588182397,-0.00023013644913298,-0.000208912639671821,-0.000190133546264765,-0.000173502987907741,-0.000158763648725094,-0.000145687678945364,-0.00013407823020517,-0.000123758462262064,-0.000114577900771851,-0.000106400226557765,-9.91081586357578e-05,-9.25977893731639e-05,-8.67772552665819e-05,-8.15668646826084e-05,-7.68957280047888e-05,-7.27014465954912e-05
"18",-3.46804182593807e-12,-0.00423124511758336,-6.34731843190254e-05,-5.73789523759579e-05,-5.19918090108266e-05,-4.72250201047552e-05,-4.3003778740832e-05,-3.92625166774196e-05,-3.59435226279514e-05,-3.29962591345424e-05,-3.03767599233642e-05,-2.80460194190049e-05,-2.5970317756592e-05,-2.41192998802001e-05,-2.24671254202592e-05,-2.09903305970708e-05,-1.96687220199773e-05,-1.84843396522014e-05,-1.74213586341815e-05,-1.64659555439324e-05,-1.56058704039001e-05,-1.48302619694604e-05
"19",-3.41611461340818e-12,-0.012332852741059,6.61701377288777e-06,9.20561745324493e-05,0.000163875894055941,0.000224053129479426,0.000274266532181853,0.000315949589847511,0.000350330559532888,0.000378463208457625,0.000401252031103423,0.000419476291396194,0.000433805314485884,0.000444817747017448,0.000453009515389818,0.000458809935282613,0.000462587474042132,0.000464659870521605,0.000465300432775172,0.000464743833343717,0.000463191835147883,0.000460817614476097
"20",0,-0.0251171444405129,-0.00037297001080076,-0.000335452142201556,-0.000302363676620503,-0.000273154778210612,-0.000247351739779134,-0.000224540248862544,-0.000204356356226662,-0.000186481724046936,-0.000170639790150418,-0.000156585654330077,-0.000144107742630725,-0.000133015997613992,-0.000123148672848503,-0.000114359258221314,-0.00010652177578116,-9.9524307168794e-05,-9.32684233072995e-05,-8.76682441008081e-05,-8.26476825531025e-05,-7.81396004467111e-05
"21",8.60155696669196e-13,-0.00502450916278754,-7.48910149045469e-05,-6.74846800712671e-05,-6.09473152887539e-05,-5.51715176868566e-05,-5.00646978103501e-05,-4.5545838748896e-05,-4.15436940455587e-05,-3.79959393255989e-05,-3.48484002304725e-05,-3.20530682237329e-05,-2.95684646518246e-05,-2.73572926262206e-05,-2.53878074386107e-05,-2.36312386074043e-05,-2.20628316068942e-05,-2.06605942709645e-05,-1.94051633674759e-05,-1.8279636681981e-05,-1.72690445158254e-05,-1.63601611377663e-05
"22",1.75524317302944e-11,-0.0181735144443495,-0.000270157368800723,-0.000243115031315504,-0.000219259658161105,-0.000198196110673989,-0.000179583926467435,-0.000163125279818349,-0.000148558478737987,-0.000135654612372735,-0.000124214767809376,-0.000114062783799378,-0.000105046455266225,-9.70290744898988e-05,-8.98941851083801e-05,-8.35363653738513e-05,-7.78649648692092e-05,-7.27993786425879e-05,-6.82687421068584e-05,-6.42112213962154e-05,-6.05720222137535e-05,-5.73027819984334e-05
"23",3.02404490337693e-11,-0.0290086278692712,-0.00043075666093783,-0.000387426407613585,-0.000349211783000347,-0.000315477717069815,-0.00028567714759066,-0.00025933158473921,-0.000236020668160142,-0.000215376750423185,-0.00019708051621195,-0.000180848968509645,-0.000166437838142852,-0.000153627653550814,-0.000142231551524943,-0.000132080372985996,-0.000123028631596633,-0.00011494700832923,-0.000107721885058018,-0.000101254005805573,-9.54555908596194e-05,-9.02489752193786e-05
"24",1.60522203168645e-13,0.000369280296064932,5.56468019636625e-06,5.04163317701788e-06,4.57877123628435e-06,4.16875493227168e-06,3.80524925864417e-06,3.48269778035007e-06,3.1962050786778e-06,2.94147892382433e-06,2.71478557130312e-06,2.51280945918466e-06,2.33268261147328e-06,2.17181926125435e-06,2.02802033732671e-06,1.89928522394069e-06,1.78389214443232e-06,1.68030775308473e-06,1.58718106012322e-06,1.50333081401521e-06,1.42770844496504e-06,1.35938629785334e-06
"25",1.23590720990663e-11,-0.0168281654786418,-0.000249885136327906,-0.000224748644251399,-0.000202579795232954,-0.000183010197925035,-0.000165722495671081,-0.000150439095934381,-0.0001369161505353,-0.000124940367606075,-0.000114326476917267,-0.000104910379577092,-9.65503441825999e-05,-8.9119008300706e-05,-8.25080420960092e-05,-7.66192497519622e-05,-7.13682173400718e-05,-6.66800017445554e-05,-6.24886466921437e-05,-5.87365918892357e-05,-5.53728774333878e-05,-5.23525463022451e-05
"26",-2.81072040642094e-13,0.000796484262857672,1.18659290977422e-05,1.06898444662068e-05,9.65186109822447e-06,8.73489943717582e-06,7.92423779763908e-06,7.20699480133186e-06,6.5718449025851e-06,6.00888083969898e-06,5.50949128662239e-06,5.06604480590049e-06,4.67194822387045e-06,4.32127638161969e-06,4.00898370327921e-06,3.73049723886897e-06,3.48188564974284e-06,3.25965271849799e-06,3.0607244643965e-06,2.88241485258203e-06,2.72234458679804e-06,2.57841392862276e-06
