"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"11",6.48095145081078e-06,-0.000111897933017983,0.000107848859558796,9.1356461241407e-12,-3.20182855922946e-12,-1.10738690353024e-11,-5.71016949042635e-05,6.50723807345916e-06,6.06124893345308e-06,5.6612403545722e-06,5.30200883856204e-06,4.97900273296425e-06,4.68813745338015e-06,4.42587504076355e-06,4.18902433680268e-06,3.97480291811384e-06,1.8440125234432e-05,4.12425085402623e-13,9.81560969656736e-13,-9.53100938713919e-06,3.21641405617271e-06
"12",-9.37847393692147e-05,0.00162128715135286,-0.00156066239776096,-1.30021586379481e-10,4.5154839936612e-11,1.63132601177507e-10,0.000829761049362322,-9.08070395404664e-05,-8.42086418737006e-05,-7.8308536555001e-05,-7.30263926668733e-05,-6.82920074734934e-05,-6.40425840323401e-05,-6.02237431648056e-05,-5.67866026918093e-05,-5.36885569801457e-05,-0.000266843896822723,-8.28052904022769e-12,-1.12616652114816e-11,0.000141659542583539,-4.29109879158465e-05
"13",-0.000226868310547059,0.00392476733494343,-0.00377529269706458,-3.16484592005617e-10,1.09929156055788e-10,3.92092379397635e-10,0.00201201322128312,-0.000215001451296461,-0.000198839021844952,-0.000184411528535738,-0.000171517585748973,-0.000159981420308937,-0.000149645947584313,-0.000140375241343742,-0.000132047261921057,-0.000124555716740873,-0.000645503997850225,-9.11632574984722e-12,-3.24549345731562e-11,0.000347869350043793,-9.87582343000351e-05
"14",-4.05100334700863e-06,7.00492243587596e-05,-6.74123387062196e-05,-5.6986073845855e-12,1.91074695128635e-12,6.99785189647514e-12,3.58722355540832e-05,-3.89226796897505e-06,-3.60595609169253e-06,-3.35010227007007e-06,-3.12119077177774e-06,-2.91615087853032e-06,-2.73223676321556e-06,-2.56707120852441e-06,-2.41851810442591e-06,-2.28471644219623e-06,-1.15262411468606e-05,-2.39987934039232e-13,-8.53786442586713e-13,6.15245719701955e-06,-1.82094998125927e-06
"15",-9.97568308242869e-05,0.00172164045821829,-0.00166004337420098,-1.38984208690462e-10,4.80852961615152e-11,1.70618597375438e-10,0.00087769062712989,-0.000101364276500062,-9.45512734621262e-05,-8.84342156293044e-05,-8.29348455987852e-05,-7.79846206033254e-05,-7.35220047585194e-05,-6.94936810011586e-05,-6.58514981336684e-05,-6.25534633001378e-05,-0.000283836173397282,-6.03401703602735e-12,-1.7877265640065e-11,0.000145365190631831,-5.08096281535385e-05
"16",-0.000266053016169936,0.00459790788920139,-0.00442736144565277,-3.71999268194978e-10,1.36889236057591e-10,4.70434489974192e-10,0.00235146406120411,-0.000259980771693119,-0.000241364362596294,-0.000224705617491494,-0.000209780175582305,-0.000196392020301847,-0.000184365594255206,-0.000173548820973216,-0.000163805035525232,-0.000155014980972222,-0.000756995475881345,-4.35237609841543e-11,-2.12999964888105e-11,0.0003992230598008,-0.000124301309025174
"17",-0.000430992189518092,0.0074594498105327,-0.00717209763234294,-6.0033156917827e-10,2.04688009597387e-10,7.44308538414007e-10,0.00382807178564677,-0.000402847769222281,-0.000371902334595033,-0.000344307718669466,-0.000319672973671442,-0.000297656919300171,-0.000277954985031137,-0.000260303649708582,-0.000244466533075999,-0.000230237765938016,-0.00122629372711683,1.66606589635521e-11,-4.33949265410405e-11,0.00066709564106221,-0.000181558206509891
"18",-7.80453616701755e-05,0.00134817923287477,-0.00129874500671736,-1.10250092041908e-10,3.84940100628395e-11,1.34171415297479e-10,0.000688779818675699,-7.72473026864635e-05,-7.18285901585552e-05,-6.69745156225664e-05,-6.26207428386892e-05,-5.87110160870097e-05,-5.51949348705678e-05,-5.2028830459256e-05,-4.91733833401925e-05,-4.65942963469336e-05,-0.000222060953358052,-5.26897275809901e-12,-9.7688558631237e-12,0.000116015750957755,-3.75269198523397e-05
"19",-0.000224814715131675,0.00439160532073285,-0.00374111903177236,-3.15446745113857e-10,1.06360215773593e-10,3.91635199964435e-10,0.00285494225899696,0.000625903418285768,0.000679333063704862,0.000722854776709927,0.000757895742278906,0.000785685212242739,0.000807285883961083,0.000823612178967037,0.000835455235379506,0.000843496237532215,-0.000639660939286024,-6.27519564089241e-12,-1.89791030114073e-11,0.00129252750355004,0.000824458884441409
"20",-0.000463232905937923,0.00801746040474501,-0.00770861213630963,-6.47843473311482e-10,2.20969305353425e-10,8.03690745898589e-10,0.00411443458138225,-0.000432982320260629,-0.000399721953650359,-0.000370063076451113,-0.000343585488996462,-0.000319922487859559,-0.000298746729781682,-0.00027977496447236,-0.000262753135169769,-0.000247460048439743,-0.0013180275954895,-2.50739151663737e-11,-6.6229757789138e-11,0.000716999131724808,-0.000195138923890892
