"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"11",-1.92135021057932,0.268556969489114,-0.38401320849265,-0.568806922695615,-0.756008444972853,-0.946569092757692,-1.14142544879701,-1.34151702299808,-1.54780025459962,-1.76125993339375,-1.98291939363598,-2.21384943517748,-2.45517722845298,-2.70809471145053,-2.97386695330951,-3.25384101392721,-3.54945467232691,-3.86224602065048,-4.19386320713929,-4.54607500444886,-4.92078203188162,-5.32002871741218
"12",3435.51649875365,-480.199754555387,686.64406220771,1017.06891162588,1351.7991002946,1692.53565383688,2040.95325236617,2398.73180868391,2767.5815074391,3149.26322467105,3545.60675890991,3958.52677881608,4390.03874980563,4842.27394377732,5317.49439956818,5818.10875594319,6346.68787762248,6905.98197437025,7498.93807317419,8128.71885151725,8798.72277462629,9512.60542025372
"13",14081.7457684101,-1968.2778016508,2814.46679764545,4168.83628640503,5540.85281329273,6937.48866797214,8365.60815135643,9832.09701086773,11343.9650755308,12908.4299548483,14532.9917625404,16225.4984761533,17994.2112390301,19847.8658561246,21795.7341435061,23847.6888200434,26014.2674817328,28306.7429656059,30737.1946769092,33318.5861155598,36064.847093598,38990.9613894997
"14",285.000281235933,-39.8359504742186,56.9619592597431,84.3730268665161,112.141252665214,140.407748754022,169.311441566299,198.991691762958,229.590371097651,261.25355679585,294.133043398355,328.387666199616,364.184622254282,401.700715553105,441.12359812802,482.653083794369,526.502443000597,572.899826415211,622.08970906007,674.334458780029,729.916001446146,789.137592769258
"15",14733.7993706527,-2059.41867664513,2944.79035515638,4361.8737658534,5797.42135930522,7258.72827683675,8752.97666321483,10287.3711210318,11869.246061604,13506.153307944,15205.9402581588,16976.8183005412,18827.4310969908,20766.9189831055,22804.9830848191,24951.9532783752,27218.8551205623,29617.4834129304,32160.4769106525,34861.3993786793,37734.8256444999,40796.4333298819
"16",38299.7204530251,-5353.34828627799,7654.82443228477,11338.4566807968,15070.0855791777,18868.6744558301,22752.8929210037,26741.4689325079,30853.4679123055,35108.5204175168,39527.0253405471,44130.3277380105,48940.8963540204,53982.490991724,59280.3291727236,64861.2629330433,70753.9525606998,76989.0580456297,83599.4331589884,90620.3360502245,98089.653422288,106048.138202152
"17",339333.200244469,-47430.3411230896,67821.2801850382,100458.038485707,133520.044197183,167175.311261982,201589.251260005,236927.792829051,273359.854385127,311059.361474672,350207.047104457,390992.027128784,433613.37333044,478281.595933411,525220.121207997,574666.855835149,626875.728245048,682118.384649968,740685.906874362,802890.681449191,869068.379599857,939580.072663622
"18",2543.31119885714,-355.49164554798,508.322266440921,752.935622265146,1000.73621878741,1252.98332414281,1510.91670334731,1775.77999531673,2048.83924827735,2331.39803890792,2624.81096505017,2930.49545572073,3249.94355876844,3584.73305349926,3936.53852646379,4307.1430940314,4698.44995885378,5112.49511041461,5551.46021894476,6017.68662719147,6513.69020614645,7042.1771836872
"19",24579.3856405033,-3607.36608423661,5148.86377434055,7613.25274579116,10101.8251525832,12627.5783532139,15203.2223153576,17841.423925598,20554.9998804982,23357.0733145192,26261.2126044968,29281.5521076902,32432.9117238451,35730.9088757376,39192.0693826756,42833.9442442907,46675.224101868,50735.8646201243,55037.2132805757,59602.14662648,64455.2156124088,69622.8001766698
"20",1059.29516515394,-148.063116126256,211.717433394298,313.599478035599,416.809015915499,521.870535471515,629.300401506881,739.616592939586,853.346421495291,971.032829820599,1093.24001180366,1220.55832925825,1353.60922424511,1493.04984544571,1639.57766189157,1793.93534594733,1956.915585983,2129.36637696525,2312.19638870569,2506.38079677615,2712.96746754279,2933.08355159221
