ID;Sektor;Total;Padat_Ditimbun_di_TPA;Padat_Ditimbun_Lubang;Padat_Kompos;Padat_3R;Padat_ins_sampah_domestik;Padat_ins_sampah_industri;Padat_dibakar_terbuka;Padat_tidak_terkelola;Cair_septic_tank;Cair_MCK_plus;Cair_IPAL_Aerob;Cair_IPAL_Anaerob;Cair_tidak_terkelola;Cair_Biogas;Cair_Pengolahan_KIMIA;Cair_3R
32;Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor;1180787935;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
33;Angkutan Rel;3634139174;0.004975;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.696517;0.298507;0.000000;0.000000;0.000000
34;Angkutan Darat;1628939135;0.004975;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.696517;0.298507;0.000000;0.000000;0.000000
35;Angkutan Laut;9715248576;0.000005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.699997;0.299999;0.000000;0.000000;0.000000
36;Angkutan Sungai Danau dan Penyeberangan;0.8435;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
37;Angkutan Udara;2811897734;0.001384;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.499308;0.349400;0.149908;0.000000;0.000000;0.000000
38;Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir;1067871;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
39;Penyediaan Akomodasi;13628475;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.700000;0.300000;0.000000;0.000000;0.000000
40;Penyediaan Makan Minum;13997963.21;0.000023;0.000000;0.000000;0.000004;0.000000;0.000000;0.000009;0.000010;0.000000;0.000000;0.000000;0.699967;0.299986;0.000000;0.000000;0.000000
41;Informasi dan Komunikasi;9595897;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
42;Jasa Perantara Keuangan;6516.64;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
43;Asuransi dan Dana Pensiun;676005;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
44;Jasa Keuangan Lainnya;7139625;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
45;Jasa Penunjang Keuangan;112306;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
46;Real Estate;1538303;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
47;Jasa Perusahaan;28600675;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
48;Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;104737395;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
49;Jasa Pendidikan;16834332;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
50;Jasa Kesehatan dan Kegiatan Sosial;195979995;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
51;Jasa lainnya;4014819;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
52;Lainnya;71577;0.000934;0.000435;0.000089;0.000000;0.000000;0.000000;0.001939;0.000752;0.733046;0.000000;0.000000;0.009560;0.253245;0.000000;0.000000;0.000000
