"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"20",12313054.9344623,12925179.3582504,13571718.3792747,14250634.0453585,14963556.391298,15712247.6517886,16499128.9526634,17324710.7126019,18191655.7771274,19102040.7384789,20057678.6460156,21061965.363922,22116203.1082822,23223288.3774968,24385877.1088174
"21",18907697.9153205,19852257.8756724,20844936.3399834,21887260.3527262,22981714.8100051,24130920.7112931,25337763.5336717,26604798.0534918,27935204.002172,29332151.9224382,30798885.0017888,32339157.4251005,33956381.9302769,35654499.4026455,37437557.6489283
"22",155360528.596153,163117213.122496,171273975.267567,179838735.392772,188831929.354241,198275177.8932,208193017.257824,218604680.138445,229537197.056282,241016637.848602,253069194.985537,265727166.708558,279017190.944889,292972152.768608,307625342.584982
"23",64479179.6576408,67678128.4341856,71064020.3781676,74619559.1864543,78353306.6751477,82274611.9633638,86397337.6763298,90721637.6202182,95262749.5895873,100031573.936421,105036951.945674,110298743.86897,115821759.136342,121621886.636933,127713078.260231
"24",136153891.248471,142807042.243666,149959651.315612,157472066.578198,165362768.987165,173653384.158388,182391621.595594,191538576.83854,201146567.263987,211239013.527534,221824414.980576,232977058.487111,244675797.753504,256965412.688859,269876040.798531
"25",3677245.99473473,3860692.36075982,4053760.00987155,4256486.90120454,4469357.31721729,4692885.7316879,4927679.62472573,5174137.34674056,5432927.88584065,5704668.87577642,5989965.52757044,6289629.20817977,6604245.03544547,6934607.64985252,7281505.98815959
"26",7565545.63969158,7939606.57510577,8336922.94965602,8754164.65614819,9192341.3583244,9652573.76814879,10136720.4690549,10644305.8894597,11177371.4297434,11737201.1827276,12324704.596396,12942619.0984048,13591115.1366644,14272198.3898314,14987514.4693989
"27",2204065.3214312,2314254.04561719,2429967.90607745,2551467.66477734,2679042.66318862,2812996.91847952,2953651.99976019,3101337.18341448,3256406.97440332,3419230.63673132,3590194.38677972,3769709.89637001,3958200.09901732,4156115.37056476,4363927.02219507
"28",10653042.7576509,11183347.0513359,11742700.6409067,12330054.9617921,12946817.5221386,13594499.9026594,14275069.1203658,14989238.4994703,15739172.3599654,16526664.5449719,17353354.0916625,18221954.9992016,19133810.7006476,20091349.4047536,21096864.3003476
"29",1244202.5767549,1305236.61198907,1370591.75271989,1439231.21096335,1511322.93736458,1587060.17722076,1666836.1063498,1750386.28350537,1838142.03609654,1930316.45116655,2027010.80804468,2128828.85341708,2235650.01820384,2347857.44405816,2465724.96198377
"30",143808229.238364,150984557.634461,158534902.781131,166462963.48646,174787670.222068,183529102.426501,192710621.683798,202348647.843269,212468911.330674,223095557.719608,234252473.322104,245970694.955496,258273776.494922,271192553.402405,284757864.513082
"31",34583119.8277534,36214435.2940122,38032971.9867349,39943818.0974276,41951900.1509812,44063795.9715435,46302231.7864666,48634759.5875783,51086256.4880721,53662905.2498028,56361016.292825,59218070.8044839,62210693.0332498,65356719.3135387,68664197.153756
